sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
insertion,random,3600,8,3243901,10767,3386,ok
merge,random,3600,8,38010,42704,208,ok
insertion,random,3600,9,3303413,10788,3420,ok
merge,random,3600,9,38007,42704,203,ok
insertion,sorted,3600,0,6478200,0,7961,ok
merge,sorted,3600,0,21888,42704,79,ok
insertion,sorted,3600,1,6478200,0,6681,ok
merge,sorted,3600,1,21888,42704,79,ok
insertion,sorted,3600,2,6478200,0,6561,ok
merge,sorted,3600,2,21888,42704,77,ok
insertion,sorted,3600,3,6478200,0,6568,ok
merge,sorted,3600,3,21888,42704,80,ok
insertion,sorted,3600,4,6478200,0,6624,ok
merge,sorted,3600,4,21888,42704,79,ok
insertion,sorted,3600,5,6478200,0,6617,ok
merge,sorted,3600,5,21888,42704,76,ok
insertion,sorted,3600,6,6478200,0,6759,ok
merge,sorted,3600,6,21888,42704,77,ok
insertion,sorted,3600,7,6478200,0,6619,ok
merge,sorted,3600,7,21888,42704,76,ok
insertion,sorted,3600,8,6478200,0,6498,ok
merge,sorted,3600,8,21888,42704,77,ok
insertion,sorted,3600,9,6478200,0,6522,ok
merge,sorted,3600,9,21888,42704,78,ok
insertion,reverse,3600,0,3599,10797,7,ok
merge,reverse,3600,0,20816,42704,78,ok
insertion,reverse,3600,1,3599,10797,7,ok
merge,reverse,3600,1,20816,42704,82,ok
insertion,reverse,3600,2,3599,10797,7,ok
merge,reverse,3600,2,20816,42704,102,ok
insertion,reverse,3600,3,3599,10797,8,ok
merge,reverse,3600,3,20816,42704,110,ok
